Year,State,BL7,WH7,HI7,BL8,WH8,HI8,BL9,WH9,HI9,BL10,WH10,HI10,BL11,WH11,HI11,BL12,WH12,HI12,BLD7,WHD7,HID7,BLD8,WHD8,HID8,BLD9,WHD9,HID9,BLD10,WHD10,HID10,BLD11,WHD11,HID11,BLD12,WHD12,HID12
2002,ALABAMA,22817,37114,981,20592,35142,875,22993,36789,891,18847,32103,657,16022,29096,475,14583,26644,394,18,43,1,50,140,4,605,1058,33,642,1235,36,659,1242,28,551,918,16
2002,ALASKA,532,6726,425,479,6468,374,559,7043,375,417,6334,343,409,5858,259,373,5799,272,5,41,1,5,53,4,40,359,30,53,402,28,40,347,44,35,230,33
2002,ARIZONA,3612,36738,26435,3246,36141,23960,3581,40110,26498,3225,37794,22334,2945,36607,19340,2800,34462,17885,187,902,1069,138,757,978,306,1610,3208,304,1872,2653,305,2137,2283,447,2446,2756
2002,ARKANSAS,NaN,NaN,NaN,NaN,NaN,NaN,8410,NaN,1424,7735,24805,1386,6875,23311,1062,6375,21679,832,NaN,NaN,NaN,NaN,NaN,NaN,309,NaN,49,434,897,95,471,1347,99,402,1285,69
2002,CALIFORNIA,43647,NaN,NaN,41820,NaN,NaN,46628,180541,231562,40805,175333,196240,35133,169352,167347,30516,161085,138363,63,NaN,NaN,115,NaN,NaN,2286,2241,7555,2202,2403,7606,1984,3093,7413,2336,5191,9363
2002,COLORADO,3524,39074,14034,3267,38979,12976,3799,41257,15389,2987,39440,11184,2641,37581,9081,2099,35228,7334,14,46,36,10,28,64,162,620,875,119,888,756,119,1159,687,182,1172,657
2002,CONNECTICUT,6387,31750,6368,6110,31060,5897,6593,31882,6925,5543,30203,5400,4654,28503,4211,4500,26486,3886,37,33,50,33,21,39,186,300,350,202,432,302,156,532,224,120,442,152
2002,DELAWARE,3075,5620,666,3212,5829,670,3194,6306,646,2691,5372,465,2059,5118,319,1865,4785,292,7,12,NaN,17,18,6,356,308,81,212,196,47,124,193,22,94,166,17
2002,DISTRICT OF COLUMBIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,FLORIDA,50384,107498,43377,48473,105855,41421,65609,126816,51327,42798,100158,36313,35681,88256,30028,30640,78248,25050,896,690,813,1164,777,1164,2745,3677,2092,1750,2593,1265,1329,2189,1033,1954,2313,1195
2002,GEORGIA,47604,64037,6531,44688,62560,5962,52927,68419,6905,39811,58837,4709,33483,51520,3325,27145,46051,2641,380,233,82,496,335,127,3111,3100,558,2443,3305,454,2061,3092,325,1914,2759,291
2002,HAWAII,342,2837,634,274,2686,636,325,3167,710,230,2778,638,220,2494,609,189,2058,484,6,19,4,6,35,5,18,99,20,10,133,32,11,158,33,15,168,55
2002,IDAHO,NaN,NaN,NaN,NaN,NaN,NaN,151,17847,1984,85,17252,1614,84,16204,1323,81,16020,1030,NaN,NaN,NaN,NaN,NaN,NaN,6,361,119,4,552,164,5,655,151,3,691,103
2002,ILLINOIS,33299,97076,24851,31998,95276,23378,36604,100086,26195,29276,95126,21317,22991,92430,17344,24462,91991,16158,390,857,188,714,928,487,4176,3059,2585,3247,3475,1868,2374,4196,1552,1638,4324,1161
2002,INDIANA,10189,67427,3134,9569,65981,2913,10167,67799,3031,8316,61418,2591,6715,58584,2090,5843,55563,1766,41,35,10,39,75,16,244,889,108,284,1185,110,251,1406,88,254,1517,74
2002,IOWA,1551,34452,1483,1527,34092,1441,1619,35972,1636,1391,34957,1380,1136,35497,1195,974,34696,842,2,3,2,1,11,1,50,243,59,62,479,84,77,813,84,52,854,61
2002,KANSAS,3451,29393,3643,3401,28833,3415,3624,30836,3961,3261,29946,3231,2787,28971,2561,2481,28492,2445,10,10,10,8,15,10,86,270,125,129,522,170,130,753,152,127,773,129
2002,KENTUCKY,5232,44454,585,5046,43278,537,5821,47047,642,4862,42313,487,4007,37815,409,3391,35083,325,10,30,NaN,13,58,5,179,1083,11,222,1474,19,171,1395,14,156,1184,11
2002,LOUISIANA,26622,28121,886,30989,27978,867,26156,29748,909,21568,25596,774,18323,23800,688,18118,22823,604,668,293,17,1711,548,19,2859,1732,72,1939,1368,59,1589,1213,43,2280,1082,47
2002,MAINE,267,16633,117,254,16647,118,249,16559,117,210,15282,91,211,14858,80,155,13698,74,NaN,12,2,NaN,29,1,10,288,3,3,380,4,10,526,2,5,467,1
2002,MARYLAND,26629,36575,3800,25325,36243,3564,29291,38325,3968,23994,35255,3281,20044,32856,2642,18344,31367,2279,52,17,NaN,75,29,1,1640,883,168,1264,947,147,999,989,129,831,779,71
2002,MASSACHUSETTS,7092,59772,9061,6714,58904,8602,8117,60095,9874,6449,55141,7235,5552,51908,5765,4994,48018,4827,14,25,18,19,77,57,472,1316,744,383,1434,574,291,1422,368,285,1379,354
2002,MICHIGAN,31714,NaN,NaN,27227,NaN,NaN,35776,109224,5837,23878,103098,4362,17714,96705,3337,13860,92092,2651,1107,NaN,NaN,1483,NaN,NaN,4103,2927,416,2343,3298,289,1466,3272,201,1347,3053,169
2002,MINNESOTA,5015,54895,2567,4709,54956,2312,4672,56961,2478,4375,57270,2138,4387,58007,2058,4660,60841,1969,35,39,18,49,61,33,153,249,155,277,812,283,472,1615,373,981,3374,620
2002,MISSISSIPPI,21130,19911,394,19165,18509,344,20252,19333,316,16524,16943,235,14092,14892,157,12828,13456,169,148,50,1,172,77,6,866,350,12,788,539,18,605,543,9,623,468,9
2002,MISSOURI,13328,57349,1570,12510,56737,1457,13887,59111,1533,11300,56297,1258,8853,53368,1018,8099,50553,923,47,64,12,146,118,14,638,958,68,619,1690,62,549,2080,58,492,1681,55
2002,MONTANA,88,10472,249,67,10410,236,74,10997,241,67,10897,222,43,10571,180,49,10330,180,NaN,11,2,NaN,11,NaN,NaN,182,15,5,330,17,1,422,7,3,408,11
2002,NEBRASKA,1612,18404,1834,1452,18128,1697,1965,19196,2039,1320,18930,1546,1142,18913,1225,1093,19267,995,10,10,11,13,21,7,137,191,171,119,350,140,101,492,133,84,626,95
2002,NEVADA,3354,16228,8494,3236,15998,7594,3456,17512,8932,2792,15221,6497,1949,12839,4250,1650,11464,3376,97,306,180,91,289,177,187,639,631,204,605,538,170,484,387,270,928,508
2002,NEW HAMPSHIRE,NaN,NaN,NaN,NaN,NaN,NaN,218,16957,362,195,15851,318,160,14672,281,127,13725,232,NaN,NaN,NaN,NaN,NaN,NaN,8,229,18,12,433,21,10,647,35,19,927,46
