State,White,Black or African American,Hispanic or Latino
ALABAMA,3382838.0,1290667.0,182795.0
ALASKA,526642.0,33121.0,40705.0
ARIZONA,5242273.0,312920.0,1908914.0
ARKANSAS,2336002.0,480407.0,182674.0
CALIFORNIA,24611291.0,2649422.0,14089411.0
COLORADO,4359904.0,247808.0,1047700.0
CONNECTICUT,2872261.0,402971.0,481901.0
DELAWARE,654859.0,203620.0,73842.0
DISTRICT OF COLUMBIA,251526.0,315243.0,55256.0
FLORIDA,14743216.0,3195360.0,4253197.0
GEORGIA,6036648.0,3071510.0,856924.0
HAWAII,573468.0,40443.0,121001.0
IDAHO,1483490.0,14178.0,177326.0
ILLINOIS,9518017.0,1968117.0,2037851.0
INDIANA,5638618.0,655352.0,389550.0
IOWA,2842892.0,119355.0,151736.0
KANSAS,2515800.0,204390.0,301140.0
KENTUCKY,3903375.0,375434.0,131063.0
LOUISIANA,2916456.0,1489050.0,193732.0
MAINE,1286799.0,20964.0,16490.0
MARYLAND,3536519.0,1787319.0,473721.0
MASSACHUSETTS,5474313.0,543824.0,631016.0
MICHIGAN,8044962.0,1505954.0,439282.0
MINNESOTA,4686982.0,331444.0,248297.0
MISSISSIPPI,1796181.0,1124460.0,73435.0
MISSOURI,5103564.0,755625.0,213180.0
MONTANA,913685.0,7875.0,28176.0
NEBRASKA,1659972.0,99261.0,168298.0
NEVADA,2055140.0,247972.0,720068.0
NEW HAMPSHIRE,1257465.0,21817.0,36941.0
NEW JERSEY,6278395.0,1293921.0,1564037.0
NEW MEXICO,1567232.0,54593.0,959411.0
NEW YORK,13159790.0,3272124.0,3434888.0
NORTH CAROLINA,6844118.0,2163190.0,804826.0
NORTH DAKOTA,619740.0,10639.0,13919.0
OHIO,9788114.0,1555034.0,355016.0
OKLAHOMA,3037556.0,325386.0,332611.0
OREGON,3387267.0,97227.0,451940.0
PENNSYLVANIA,10692745.0,1514969.0,722111.0
RHODE ISLAND,879768.0,77420.0,131383.0
SOUTH CAROLINA,3183859.0,1345154.0,231001.0
SOUTH DAKOTA,716434.0,13922.0,20467.0
TENNESSEE,5079389.0,1117185.0,287505.0
TEXAS,19191255.0,3159265.0,9533880.0
UTAH,2526041.0,40045.0,361956.0
VERMONT,607394.0,9795.0,9692.0
VIRGINIA,5755827.0,1671545.0,630112.0
WASHINGTON,5573501.0,325148.0,760434.0
WEST VIRGINIA,1774445.0,73610.0,22018.0
WISCONSIN,5059247.0,399951.0,336567.0
WYOMING,527926.0,6729.0,50693.0
PUERTO RICO,3012841.0,762659.0,3680273.0
