State,White,Black,Hispanic
Alabama,414000.0,395400.0,53400.0
Alaska,36200.0,,2700.0
Arizona,407300.0,55000.0,502700.0
Arkansas,312100.0,147900.0,52700.0
California,1420900.0,457100.0,3134400.0
Colorado,323800.0,40200.0,239600.0
Connecticut,147900.0,65000.0,106300.0
Delaware,50300.0,35900.0,15100.0
District of Columbia,17400.0,79700.0,8400.0
Florida,1217200.0,786900.0,918900.0
Georgia,604800.0,746700.0,265700.0
Hawaii,34300.0,,19200.0
Idaho,169800.0,,46900.0
Illinois,695600.0,534200.0,411100.0
Indiana,639500.0,163400.0,108800.0
Iowa,272900.0,39200.0,44000.0
Kansas,215900.0,42600.0,71200.0
Kentucky,611700.0,107600.0,39700.0
Louisiana,302300.0,445300.0,37800.0
Maine,156000.0,6100.0,4700.0
Maryland,197400.0,257200.0,62900.0
Massachusetts,371600.0,86800.0,188100.0
Michigan,940200.0,439100.0,123500.0
Minnesota,338600.0,102900.0,56000.0
Mississippi,229100.0,377000.0,19500.0
Missouri,594400.0,201700.0,57800.0
Montana,109100.0,,6300.0
Nebraska,143600.0,30000.0,41300.0
Nevada,149100.0,50000.0,163400.0
New Hampshire,89900.0,,5300.0
New Jersey,301100.0,198800.0,298700.0
New Mexico,89200.0,7100.0,251300.0
New York,1039300.0,612400.0,854600.0
North Carolina,710900.0,533100.0,264000.0
North Dakota,58300.0,,3200.0
Ohio,1147700.0,444400.0,109400.0
Oklahoma,320300.0,74300.0,100100.0
Oregon,390000.0,23800.0,130100.0
Pennsylvania,944600.0,348500.0,223800.0
Rhode Island,74700.0,20900.0,41900.0
South Carolina,342900.0,373800.0,73600.0
South Dakota,67800.0,,5300.0
Tennessee,658400.0,294400.0,96100.0
Texas,1039400.0,680700.0,2475100.0
Utah,225500.0,9000.0,98600.0
Vermont,64200.0,,
Virginia,437700.0,287800.0,89500.0
Washington,494200.0,54900.0,224300.0
West Virginia,297000.0,13700.0,6300.0
Wisconsin,457900.0,121300.0,82500.0
Wyoming,43100.0,,9100.0
Puerto Rico,10500.0,,1638400.0
