State,Ethnicity,Census,Poverty
vermont,White,607394,64200
vermont,Black,9795,0
northcarolina,White,6844118,710900
northcarolina,Black,2163190,533100
northcarolina,Hispanic,804826,264000
iowa,White,2842892,272900
iowa,Black,119355,39200
iowa,Hispanic,151736,44000
kentucky,White,3903375,611700
kentucky,Black,375434,107600
kentucky,Hispanic,131063,39700
indiana,White,5638618,639500
indiana,Black,655352,163400
indiana,Hispanic,389550,108800
tennessee,White,5079389,658400
tennessee,Black,1117185,294400
tennessee,Hispanic,287505,96100
idaho,White,1483490,169800
idaho,Black,14178,0
idaho,Hispanic,177326,46900
texas,White,19191255,1039400
texas,Black,3159265,680700
texas,Hispanic,9533880,2475100
minnesota,White,4686982,338600
minnesota,Black,331444,102900
minnesota,Hispanic,248297,56000
florida,White,14743216,1217200
florida,Black,3195360,786900
florida,Hispanic,4253197,918900
montana,White,913685,109100
montana,Black,7875,0
montana,Hispanic,28176,6300
oklahoma,White,3037556,320300
oklahoma,Black,325386,74300
oklahoma,Hispanic,332611,100100
hawaii,White,573468,34300
hawaii,Black,40443,0
hawaii,Hispanic,121001,19200
rhodeisland,White,879768,74700
rhodeisland,Black,77420,20900
rhodeisland,Hispanic,131383,41900
wyoming,White,527926,43100
wyoming,Black,6729,0
wyoming,Hispanic,50693,9100
southcarolina,White,3183859,342900
southcarolina,Black,1345154,373800
southcarolina,Hispanic,231001,73600
virginia,White,5755827,437700
virginia,Black,1671545,287800
virginia,Hispanic,630112,89500
maryland,White,3536519,197400
maryland,Black,1787319,257200
maryland,Hispanic,473721,62900
northdakota,White,619740,58300
northdakota,Black,10639,0
northdakota,Hispanic,13919,3200
alaska,White,526642,36200
alaska,Black,33121,0
alaska,Hispanic,40705,2700
utah,White,2526041,225500
utah,Black,40045,9000
utah,Hispanic,361956,98600
wisconsin,White,5059247,457900
wisconsin,Black,399951,121300
wisconsin,Hispanic,336567,82500
washington,White,5573501,494200
washington,Black,325148,54900
washington,Hispanic,760434,224300
michigan,White,8044962,940200
michigan,Black,1505954,439100
michigan,Hispanic,439282,123500
nevada,White,2055140,149100
nevada,Black,247972,50000
nevada,Hispanic,720068,163400
districtofcolumbia,White,251526,17400
districtofcolumbia,Black,315243,79700
districtofcolumbia,Hispanic,55256,8400
missouri,White,5103564,594400
missouri,Black,755625,201700
missouri,Hispanic,213180,57800
alabama,White,3382838,414000
alabama,Black,1290667,395400
alabama,Hispanic,182795,53400
colorado,White,4359904,323800
colorado,Black,247808,40200
colorado,Hispanic,1047700,239600
georgia,White,6036648,604800
georgia,Black,3071510,746700
georgia,Hispanic,856924,265700
arizona,White,5242273,407300
arizona,Black,312920,55000
arizona,Hispanic,1908914,502700
massachusetts,White,5474313,371600
massachusetts,Black,543824,86800
massachusetts,Hispanic,631016,188100
ohio,White,9788114,1147700
ohio,Black,1555034,444400
ohio,Hispanic,355016,109400
newjersey,White,6278395,301100
newjersey,Black,1293921,198800
newjersey,Hispanic,1564037,298700
pennsylvania,White,10692745,944600
pennsylvania,Black,1514969,348500
pennsylvania,Hispanic,722111,223800
delaware,White,654859,50300
delaware,Black,203620,35900
delaware,Hispanic,73842,15100
maine,White,1286799,156000
maine,Black,20964,6100
maine,Hispanic,16490,4700
westvirginia,White,1774445,297000
westvirginia,Black,73610,13700
westvirginia,Hispanic,22018,6300
california,White,24611291,1420900
california,Black,2649422,457100
california,Hispanic,14089411,3134400
oregon,White,3387267,390000
oregon,Black,97227,23800
oregon,Hispanic,451940,130100
nebraska,White,1659972,143600
nebraska,Black,99261,30000
nebraska,Hispanic,168298,41300
newhampshire,White,1257465,89900
newhampshire,Black,21817,0
newhampshire,Hispanic,36941,5300
illinois,White,9518017,695600
illinois,Black,1968117,534200
illinois,Hispanic,2037851,411100
southdakota,White,716434,67800
southdakota,Black,13922,0
southdakota,Hispanic,20467,5300
connecticut,White,2872261,147900
connecticut,Black,402971,65000
connecticut,Hispanic,481901,106300
newyork,White,13159790,1039300
newyork,Black,3272124,612400
newyork,Hispanic,3434888,854600
arkansas,White,2336002,312100
arkansas,Black,480407,147900
arkansas,Hispanic,182674,52700
puertorico,White,3012841,10500
puertorico,Black,762659,0
puertorico,Hispanic,3680273,1638400
newmexico,White,1567232,89200
newmexico,Black,54593,7100
newmexico,Hispanic,959411,251300
mississippi,White,1796181,229100
mississippi,Black,1124460,377000
mississippi,Hispanic,73435,19500
louisiana,White,2916456,302300
louisiana,Black,1489050,445300
louisiana,Hispanic,193732,37800
kansas,White,2515800,215900
kansas,Black,204390,42600
kansas,Hispanic,301140,71200
