State,Ethnicity,Census
alabama,White,3382838
alaska,White,526642
arizona,White,5242273
arkansas,White,2336002
california,White,24611291
colorado,White,4359904
connecticut,White,2872261
delaware,White,654859
districtofcolumbia,White,251526
florida,White,14743216
georgia,White,6036648
hawaii,White,573468
idaho,White,1483490
illinois,White,9518017
indiana,White,5638618
iowa,White,2842892
kansas,White,2515800
kentucky,White,3903375
louisiana,White,2916456
maine,White,1286799
maryland,White,3536519
massachusetts,White,5474313
michigan,White,8044962
minnesota,White,4686982
mississippi,White,1796181
missouri,White,5103564
montana,White,913685
nebraska,White,1659972
nevada,White,2055140
newhampshire,White,1257465
newjersey,White,6278395
newmexico,White,1567232
newyork,White,13159790
northcarolina,White,6844118
northdakota,White,619740
ohio,White,9788114
oklahoma,White,3037556
oregon,White,3387267
pennsylvania,White,10692745
rhodeisland,White,879768
southcarolina,White,3183859
southdakota,White,716434
tennessee,White,5079389
texas,White,19191255
utah,White,2526041
vermont,White,607394
virginia,White,5755827
washington,White,5573501
westvirginia,White,1774445
wisconsin,White,5059247
wyoming,White,527926
puertorico,White,3012841
alabama,Black,1290667
alaska,Black,33121
arizona,Black,312920
arkansas,Black,480407
california,Black,2649422
colorado,Black,247808
connecticut,Black,402971
delaware,Black,203620
districtofcolumbia,Black,315243
florida,Black,3195360
georgia,Black,3071510
hawaii,Black,40443
idaho,Black,14178
illinois,Black,1968117
indiana,Black,655352
iowa,Black,119355
kansas,Black,204390
kentucky,Black,375434
louisiana,Black,1489050
maine,Black,20964
maryland,Black,1787319
massachusetts,Black,543824
michigan,Black,1505954
minnesota,Black,331444
mississippi,Black,1124460
missouri,Black,755625
montana,Black,7875
nebraska,Black,99261
nevada,Black,247972
newhampshire,Black,21817
newjersey,Black,1293921
newmexico,Black,54593
newyork,Black,3272124
northcarolina,Black,2163190
northdakota,Black,10639
ohio,Black,1555034
oklahoma,Black,325386
oregon,Black,97227
pennsylvania,Black,1514969
rhodeisland,Black,77420
southcarolina,Black,1345154
southdakota,Black,13922
tennessee,Black,1117185
texas,Black,3159265
utah,Black,40045
vermont,Black,9795
virginia,Black,1671545
washington,Black,325148
westvirginia,Black,73610
wisconsin,Black,399951
wyoming,Black,6729
puertorico,Black,762659
alabama,Hispanic,182795
alaska,Hispanic,40705
arizona,Hispanic,1908914
arkansas,Hispanic,182674
california,Hispanic,14089411
colorado,Hispanic,1047700
connecticut,Hispanic,481901
delaware,Hispanic,73842
districtofcolumbia,Hispanic,55256
florida,Hispanic,4253197
georgia,Hispanic,856924
hawaii,Hispanic,121001
idaho,Hispanic,177326
illinois,Hispanic,2037851
indiana,Hispanic,389550
iowa,Hispanic,151736
kansas,Hispanic,301140
kentucky,Hispanic,131063
louisiana,Hispanic,193732
maine,Hispanic,16490
maryland,Hispanic,473721
massachusetts,Hispanic,631016
michigan,Hispanic,439282
minnesota,Hispanic,248297
mississippi,Hispanic,73435
missouri,Hispanic,213180
montana,Hispanic,28176
nebraska,Hispanic,168298
nevada,Hispanic,720068
newhampshire,Hispanic,36941
newjersey,Hispanic,1564037
newmexico,Hispanic,959411
newyork,Hispanic,3434888
northcarolina,Hispanic,804826
northdakota,Hispanic,13919
ohio,Hispanic,355016
oklahoma,Hispanic,332611
oregon,Hispanic,451940
pennsylvania,Hispanic,722111
rhodeisland,Hispanic,131383
southcarolina,Hispanic,231001
southdakota,Hispanic,20467
tennessee,Hispanic,287505
texas,Hispanic,9533880
utah,Hispanic,361956
vermont,Hispanic,9692
virginia,Hispanic,630112
washington,Hispanic,760434
westvirginia,Hispanic,22018
wisconsin,Hispanic,336567
wyoming,Hispanic,50693
puertorico,Hispanic,3680273
