Year,State,Ethnicity,Grade,Enrollment,Dropout
2002,alabama,Black,7,22817,18
2002,alaska,Black,7,532,5
2002,arizona,Black,7,3612,187
2002,arkansas,Black,7,0,0
2002,california,Black,7,43647,63
2002,colorado,Black,7,3524,14
2002,connecticut,Black,7,6387,37
2002,delaware,Black,7,3075,7
2002,district of columbia,Black,7,0,0
2002,florida,Black,7,50384,896
2002,georgia,Black,7,47604,380
2002,hawaii,Black,7,342,6
2002,idaho,Black,7,0,0
2002,illinois,Black,7,33299,390
2002,indiana,Black,7,10189,41
2002,iowa,Black,7,1551,2
2002,kansas,Black,7,3451,10
2002,kentucky,Black,7,5232,10
2002,louisiana,Black,7,26622,668
2002,maine,Black,7,267,0
2002,maryland,Black,7,26629,52
2002,massachusetts,Black,7,7092,14
2002,michigan,Black,7,31714,1107
2002,minnesota,Black,7,5015,35
2002,mississippi,Black,7,21130,148
2002,missouri,Black,7,13328,47
2002,montana,Black,7,88,0
2002,nebraska,Black,7,1612,10
2002,nevada,Black,7,3354,97
2002,new hampshire,Black,7,0,0
2002,new jersey,Black,7,19300,179
2002,new mexico,Black,7,600,4
2002,new york,Black,7,46398,35
2002,north carolina,Black,7,34937,130
2002,north dakota,Black,7,87,0
2002,ohio,Black,7,25701,376
2002,oklahoma,Black,7,5485,78
2002,oregon,Black,7,1193,0
2002,pennsylvania,Black,7,23299,0
2002,rhode island,Black,7,1072,0
2002,south carolina,Black,7,22230,40
2002,south dakota,Black,7,138,0
2002,tennessee,Black,7,0,0
2002,texas,Black,7,47430,96
2002,utah,Black,7,374,8
2002,vermont,Black,7,101,0
2002,virginia,Black,7,0,0
2002,washington,Black,7,0,0
2002,west virginia,Black,7,970,0
2002,wisconsin,Black,7,7407,198
2002,wyoming,Black,7,90,0
2002,american samoa,Black,7,0,0
2002,guam,Black,7,0,0
2002,northern marianas,Black,7,0,0
2002,puerto rico,Black,7,0,0
2002,virgin islands,Black,7,0,0
2002,alabama,White,7,37114,43
2002,alaska,White,7,6726,41
2002,arizona,White,7,36738,902
2002,arkansas,White,7,0,0
2002,california,White,7,0,0
2002,colorado,White,7,39074,46
2002,connecticut,White,7,31750,33
2002,delaware,White,7,5620,12
2002,district of columbia,White,7,0,0
2002,florida,White,7,107498,690
2002,georgia,White,7,64037,233
2002,hawaii,White,7,2837,19
2002,idaho,White,7,0,0
2002,illinois,White,7,97076,857
2002,indiana,White,7,67427,35
2002,iowa,White,7,34452,3
2002,kansas,White,7,29393,10
2002,kentucky,White,7,44454,30
2002,louisiana,White,7,28121,293
2002,maine,White,7,16633,12
2002,maryland,White,7,36575,17
2002,massachusetts,White,7,59772,25
2002,michigan,White,7,0,0
2002,minnesota,White,7,54895,39
2002,mississippi,White,7,19911,50
2002,missouri,White,7,57349,64
2002,montana,White,7,10472,11
2002,nebraska,White,7,18404,10
2002,nevada,White,7,16228,306
2002,new hampshire,White,7,0,0
2002,new jersey,White,7,65882,11
2002,new mexico,White,7,8442,54
2002,new york,White,7,129157,22
2002,north carolina,White,7,0,0
2002,north dakota,White,7,7302,0
2002,ohio,White,7,115438,318
2002,oklahoma,White,7,30036,152
2002,oregon,White,7,35001,0
2002,pennsylvania,White,7,117140,0
2002,rhode island,White,7,9517,2
2002,south carolina,White,7,29083,24
2002,south dakota,White,7,8687,2
2002,tennessee,White,7,0,0
2002,texas,White,7,135488,84
2002,utah,White,7,31303,193
2002,vermont,White,7,7781,0
2002,virginia,White,7,0,0
2002,washington,White,7,0,0
2002,west virginia,White,7,21414,17
2002,wisconsin,White,7,54496,27
2002,wyoming,White,7,6144,7
2002,american samoa,White,7,0,0
2002,guam,White,7,0,0
2002,northern marianas,White,7,0,0
2002,puerto rico,White,7,0,0
2002,virgin islands,White,7,0,0
